arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1759688822.4581575,0.0,0.0,1468,0,0,0
66,1759688822.4583676,-0.0484,0.0,1468,0,21328,0
99,1759688822.4585516,-0.0401,0.0,1472,0,21324,0
132,1759688822.458738,-0.0406,0.0,1472,0,21328,0
165,1759688822.4589336,-0.0406,0.0,1472,0,21328,0
198,1759688822.459148,-0.0484,0.0,1468,0,21328,0
231,1759688822.4593368,-0.0484,0.0,1468,0,21328,0
264,1759688822.4595318,-0.0484,0.0,1468,0,21328,0
297,1759688822.459723,-0.0484,0.0,1468,0,21328,0
330,1759688822.4599087,-0.0484,0.0,1468,0,21328,0
363,1759688822.460106,-0.0401,0.0,1472,0,21324,0
396,1759688822.4602914,-0.0484,0.0,1468,0,21328,0
429,1759688822.4604754,-0.0484,0.0,1468,0,21328,0
462,1759688822.4606597,-0.0401,0.0,1472,0,21324,0
495,1759688822.460844,-0.0401,0.0,1472,0,21324,0
528,1759688822.4610293,-0.0484,0.0,1468,0,21328,0
561,1759688822.4612226,-0.0478,0.0,1468,0,21324,0
594,1759688822.461407,-0.0484,0.0,1468,0,21328,0
627,1759688822.4615908,-0.0484,0.0,1468,0,21328,0
660,1759688822.4617746,-0.0478,0.0,1468,0,21324,0
693,1759688822.4619594,-0.0401,0.0,1472,0,21324,0
726,1759688822.4621434,-0.0716,0.0,1456,0,21328,0
759,1759688822.4623392,-0.0478,0.0,1468,0,21324,0
792,1759688822.462525,-0.0406,0.0,1472,0,21328,0
825,1759688822.4627092,-0.0489,0.0,1468,0,21332,0
858,1759688822.4628932,-0.0478,0.0,1468,0,21324,0
891,1759688822.4630847,-0.0484,0.0,1468,0,21328,0
924,1759688822.4632695,-0.0484,0.0,1468,0,21328,0
957,1759688822.4634693,-0.0484,0.0,1468,0,21328,0
990,1759688822.4636555,-0.0484,0.0,1468,0,21328,0
1024,1759688822.4638457,-0.0401,0.0,1472,0,21324,0
1057,1759688822.4640386,-0.0406,0.0,1472,0,21328,0
1090,1759688822.4642284,-0.0484,0.0,1468,0,21328,0
1123,1759688822.4644282,-0.0401,0.0,1472,0,21324,0
1156,1759688822.4646187,-0.0478,0.0,1468,0,21324,0
1189,1759688822.464808,-0.0484,0.0,1468,0,21328,0
1222,1759688822.464997,-0.0401,0.0,1472,0,21324,0
1255,1759688822.465186,-0.0484,0.0,1468,0,21328,0
1288,1759688822.4653752,-0.0478,0.0,1468,0,21324,0
1321,1759688822.4655716,-0.0478,0.0,1468,0,21324,0
1354,1759688822.465761,-0.0484,0.0,1468,0,21328,0
1387,1759688822.46595,-0.0484,0.0,1468,0,21328,0
1420,1759688822.466139,-0.0484,0.0,1468,0,21328,0
1453,1759688822.4663286,-0.0401,0.0,1472,0,21324,0
1486,1759688822.466521,-0.0484,0.0,1468,0,21328,0
1519,1759688822.4667265,-0.0489,0.0,1468,0,21332,0
1552,1759688822.4669175,-0.0566,0.0,1464,0,21332,0
1585,1759688822.467114,-0.0478,0.0,1468,0,21324,0
1618,1759688822.4673033,-0.0478,0.0,1468,0,21324,0
1651,1759688822.4676793,-0.0478,0.0,1468,0,21324,0
1684,1759688822.4678822,-0.0478,0.0,1468,0,21324,0
1717,1759688822.4682145,-0.0406,0.0,1472,0,21328,0
1750,1759688822.4684062,-0.0489,0.0,1468,0,21332,0
1783,1759688822.4685957,-0.0484,0.0,1468,0,21328,0
1816,1759688822.468799,-0.0484,0.0,1468,0,21328,0
1849,1759688822.468989,-0.0406,0.0,1472,0,21328,0
1882,1759688822.469178,-0.0484,0.0,1468,0,21328,0
1915,1759688822.4693668,-0.0484,0.0,1468,0,21328,0
1948,1759688822.4695556,-0.0478,0.0,1468,0,21324,0
1981,1759688822.469755,-0.0484,0.0,1468,0,21328,0
2014,1759688822.4699445,-0.0639,0.0,1460,0,21328,0
2048,1759688822.4701436,-0.0478,0.0,1468,0,21324,0
2081,1759688822.470333,-0.0484,0.0,1468,0,21328,0
2114,1759688822.4705229,-0.0484,0.0,1468,0,21328,0
2147,1759688822.4707127,-0.0484,0.0,1468,0,21328,0
2180,1759688822.4709115,-0.0484,0.0,1468,0,21328,0
2213,1759688822.471109,-0.0489,0.0,1468,0,21332,0
2246,1759688822.4712977,-0.0401,0.0,1472,0,21324,0
2279,1759688822.471488,-0.0406,0.0,1472,0,21328,0
2312,1759688822.4716768,-0.0484,0.0,1468,0,21328,0
2345,1759688822.4718757,-0.0484,0.0,1468,0,21328,0
2378,1759688822.472065,-0.0478,0.0,1468,0,21324,0
2411,1759688822.4722543,-0.0478,0.0,1468,0,21324,0
2444,1759688822.4724429,-0.0484,0.0,1468,0,21328,0
2477,1759688822.4726317,-0.0484,0.0,1468,0,21328,0
2510,1759688822.4728203,-0.0401,0.0,1472,0,21324,0
2543,1759688822.473019,-0.0478,0.0,1468,0,21324,0
2576,1759688822.4732084,-0.0484,0.0,1468,0,21328,0
2609,1759688822.4733982,-0.0478,0.0,1468,0,21324,0
2642,1759688822.4735882,-0.0484,0.0,1468,0,21328,0
2675,1759688822.4737785,-0.0478,0.0,1468,0,21324,0
2708,1759688822.4739783,-0.0484,0.0,1468,0,21328,0
2741,1759688822.474168,-0.0406,0.0,1472,0,21328,0
2774,1759688822.474357,-0.0484,0.0,1468,0,21328,0
2807,1759688822.4745462,-0.0484,0.0,1468,0,21328,0
2840,1759688822.474735,-0.0484,0.0,1468,0,21328,0
2873,1759688822.4749243,-0.0489,0.0,1468,0,21332,0
2906,1759688822.4751394,-0.0484,0.0,1468,0,21328,0
2939,1759688822.4753308,-0.0484,0.0,1468,0,21328,0
2972,1759688822.4755194,-0.0484,0.0,1468,0,21328,0
3005,1759688822.475709,-0.0401,0.0,1472,0,21324,0
3038,1759688822.4758976,-0.0484,0.0,1468,0,21328,0
3072,1759688822.4760869,-0.0478,0.0,1468,0,21324,0
3105,1759688822.4762862,-0.0411,0.0,1472,0,21332,0
