arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1759851910.246158,0.063,0.0,1492,0,21332,0
66,1759851910.246457,0.0625,0.0,1492,0,21336,0
99,1759851910.2467442,0.0625,0.0,1492,0,21336,0
132,1759851910.2470505,0.0553,0.0,1488,0,21336,0
165,1759851910.2473419,0.0553,0.0,1488,0,21336,0
198,1759851910.247631,0.0558,0.0,1488,0,21332,0
231,1759851910.2479322,0.0635,0.0,1492,0,21328,0
264,1759851910.248223,0.0558,0.0,1488,0,21332,0
297,1759851910.2485125,0.0635,0.0,1492,0,21328,0
330,1759851910.2488022,0.0774,0.0,1500,0,21332,0
363,1759851910.249095,0.0558,0.0,1488,0,21332,0
396,1759851910.2493849,0.0558,0.0,1488,0,21332,0
429,1759851910.249676,0.0563,0.0,1488,0,21328,0
462,1759851910.2499754,0.0563,0.0,1488,0,21328,0
495,1759851910.2502704,0.0558,0.0,1488,0,21332,0
528,1759851910.2505627,0.063,0.0,1492,0,21332,0
561,1759851910.2508528,0.063,0.0,1492,0,21332,0
594,1759851910.2511635,0.063,0.0,1492,0,21332,0
627,1759851910.2514603,0.0558,0.0,1488,0,21332,0
660,1759851910.2517776,0.0635,0.0,1492,0,21328,0
693,1759851910.2520728,0.0558,0.0,1488,0,21332,0
726,1759851910.2523813,0.063,0.0,1492,0,21332,0
759,1759851910.2526736,0.0625,0.0,1492,0,21336,0
792,1759851910.2529652,0.0558,0.0,1488,0,21332,0
825,1759851910.253274,0.0779,0.0,1500,0,21328,0
858,1759851910.2535667,0.0563,0.0,1488,0,21328,0
891,1759851910.2538588,0.0558,0.0,1488,0,21332,0
924,1759851910.2541924,0.063,0.0,1492,0,21332,0
957,1759851910.254505,0.0635,0.0,1492,0,21328,0
990,1759851910.2547987,0.0635,0.0,1492,0,21328,0
1024,1759851910.2550993,0.063,0.0,1492,0,21332,0
1057,1759851910.2554162,0.0635,0.0,1492,0,21328,0
1090,1759851910.2792091,0.0553,0.0,1488,0,21336,0
1123,1759851910.3122034,0.0558,0.0,1488,0,21332,0
1156,1759851910.345095,0.0779,0.0,1500,0,21328,0
1189,1759851910.381762,0.0558,0.0,1488,0,21332,0
1222,1759851910.4138632,0.063,0.0,1492,0,21332,0
1255,1759851910.4467797,0.0553,0.0,1488,0,21336,0
1288,1759851910.4797826,0.0548,0.0,1488,0,21340,0
1321,1759851910.5128686,0.063,0.0,1492,0,21332,0
1354,1759851910.5459006,0.0558,0.0,1488,0,21332,0
1387,1759851910.577899,0.063,0.0,1492,0,21332,0
1420,1759851910.6109123,0.0558,0.0,1488,0,21332,0
1453,1759851910.6438901,0.0558,0.0,1488,0,21332,0
1486,1759851910.677008,0.063,0.0,1492,0,21332,0
1519,1759851910.7091718,0.063,0.0,1492,0,21332,0
1552,1759851910.7421086,0.0553,0.0,1488,0,21336,0
1585,1759851910.775006,0.0558,0.0,1488,0,21332,0
1618,1759851910.8081045,0.0558,0.0,1488,0,21332,0
1651,1759851910.8412297,0.0558,0.0,1488,0,21332,0
1684,1759851910.8736422,0.0702,0.0,1496,0,21332,0
1717,1759851910.9062114,0.063,0.0,1492,0,21332,0
1750,1759851910.939121,0.063,0.0,1492,0,21332,0
1783,1759851910.975047,0.063,0.0,1492,0,21332,0
1816,1759851911.008892,0.063,0.0,1492,0,21332,0
1849,1759851911.0420306,0.0342,0.0,1476,0,21332,0
1882,1759851911.0739896,0.0558,0.0,1488,0,21332,0
1915,1759851911.1070461,0.063,0.0,1492,0,21332,0
