arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1759852157.4401774,0.0,0.0,1500,0,0,0
66,1759852157.4403996,0.0804,0.0,1500,104,21308,1016
99,1759852157.4406025,0.0804,0.1353,1500,200,21308,1016
132,1759852157.4408088,0.0799,0.1353,1500,200,21312,1016
165,1759852157.4410238,0.0804,0.0552,1500,152,21308,1012
198,1759852157.4412305,0.0804,0.0541,1500,152,21308,1016
231,1759852157.441436,0.0799,0.0541,1500,152,21312,1016
264,1759852157.4416435,0.0732,0.0541,1496,152,21308,1016
297,1759852157.4418516,0.0372,0.0541,1476,152,21308,1016
330,1759852157.4420774,0.0804,0.0541,1500,152,21308,1016
363,1759852157.442282,0.0804,0.0541,1500,152,21308,1016
396,1759852157.4424853,0.0799,0.0541,1500,152,21312,1016
429,1759852157.4426887,0.0804,0.0541,1500,152,21308,1016
462,1759852157.4428926,0.0804,0.0541,1500,152,21308,1016
495,1759852157.4430964,0.0799,0.0541,1500,152,21312,1016
528,1759852157.4433017,0.0727,0.0541,1496,152,21312,1016
561,1759852157.443505,0.0804,0.0541,1500,152,21308,1016
594,1759852157.4437084,0.0804,0.0541,1500,152,21308,1016
627,1759852157.443913,0.0804,0.0541,1500,152,21308,1016
660,1759852157.4441159,0.0804,0.0541,1500,152,21308,1016
693,1759852157.444333,0.0804,0.0541,1500,152,21308,1016
726,1759852157.4445379,0.0804,0.0541,1500,152,21308,1016
759,1759852157.4447415,0.0727,0.0541,1496,152,21312,1016
792,1759852157.4449446,0.0804,0.0541,1500,152,21308,1016
825,1759852157.445148,0.0727,0.0541,1496,152,21312,1016
858,1759852157.4453614,0.0804,0.0541,1500,152,21308,1016
891,1759852157.445566,0.0737,0.0541,1496,152,21304,1016
924,1759852157.445772,0.0732,0.0541,1496,152,21308,1016
957,1759852157.445981,0.0593,0.0541,1488,152,21304,1016
990,1759852157.4461865,0.0588,0.0541,1488,152,21308,1016
1024,1759852157.4464061,0.0588,0.0541,1488,152,21308,1016
1057,1759852157.4466162,0.0583,0.0541,1488,152,21312,1016
1090,1759852157.4679663,0.0809,0.0541,1500,152,21304,1016
1123,1759852157.500981,0.0583,0.0541,1488,152,21312,1016
1156,1759852157.5339832,0.0588,0.0541,1488,152,21308,1016
1189,1759852157.5699253,0.0588,0.0541,1488,152,21308,1016
1222,1759852157.602793,0.0583,0.0541,1488,152,21312,1016
1255,1759852157.6357927,0.0588,0.0541,1488,152,21308,1016
1288,1759852157.6688206,0.0588,0.0541,1488,152,21308,1016
1321,1759852157.7019298,0.0732,0.0541,1496,152,21308,1016
1354,1759852157.7339709,0.0588,0.0541,1488,152,21308,1016
1387,1759852157.7669349,0.0583,0.0541,1488,152,21312,1016
1420,1759852157.7999382,0.0583,0.0541,1488,152,21312,1016
1453,1759852157.8329372,0.0588,0.0541,1488,152,21308,1016
1486,1759852157.8652039,0.066,0.0541,1492,152,21308,1016
1519,1759852157.898068,0.0583,0.0541,1488,152,21312,1016
1552,1759852157.9310617,0.0583,0.0541,1488,152,21312,1016
1585,1759852157.9640665,0.0583,0.0541,1488,152,21312,1016
1618,1759852157.9998748,0.0799,0.0541,1500,152,21312,1016
1651,1759852158.0327828,0.0588,0.0541,1488,152,21308,1016
1684,1759852158.0657961,0.0727,0.0541,1496,152,21312,1016
1717,1759852158.0988088,0.0809,0.0541,1500,152,21304,1016
1750,1759852158.1309884,0.0583,0.0541,1488,152,21312,1016
1783,1759852158.1638892,0.0809,0.0541,1500,152,21304,1016
1816,1759852158.196894,0.0804,0.0541,1500,152,21308,1016
1849,1759852158.2299147,0.0804,0.0541,1500,152,21308,1016
1882,1759852158.262905,0.0727,0.0,1496,92,21312,1012
1915,1759852158.295157,0.0732,0.0812,1496,168,21308,1016
1948,1759852158.3284318,0.0732,0.0891,1496,172,21308,1012
1981,1759852158.361707,0.0727,0.0891,1496,172,21312,1012
2014,1759852158.394136,0.0732,0.0812,1496,168,21308,1016
2048,1759852158.4274895,0.0732,0.0823,1496,168,21308,1012
2081,1759852158.4628267,0.0809,0.0812,1500,168,21304,1016
2114,1759852158.4958308,0.0809,0.0812,1500,168,21304,1016
2147,1759852158.5288422,0.0804,0.0891,1500,172,21308,1012
2180,1759852158.561043,0.0804,0.088,1500,172,21308,1016
2213,1759852158.5940034,0.1092,0.0812,1516,168,21308,1016
2246,1759852158.626928,0.1529,0.0812,1540,168,21304,1016
2279,1759852158.6599333,0.2105,0.0812,1572,168,21304,1016
2312,1759852158.692935,0.21,0.0891,1572,172,21308,1012
2345,1759852158.725212,0.246,0.0823,1592,168,21308,1012
2378,1759852158.7580369,0.2604,0.0812,1600,168,21308,1016
2411,1759852158.7910314,0.3252,0.088,1636,172,21308,1016
2444,1759852158.8240352,0.3252,0.0891,1636,172,21308,1012
2477,1759852158.8570487,0.3612,0.0823,1656,168,21308,1012
2510,1759852158.8892837,0.3751,0.0812,1664,168,21312,1016
2543,1759852158.9221807,0.4332,0.0812,1696,168,21308,1016
2576,1759852158.9551685,0.4476,0.0812,1704,168,21308,1016
2609,1759852158.9881523,0.4476,0.0812,1704,168,21308,1016
2642,1759852159.0239124,0.4554,0.0823,1708,168,21304,1012
2675,1759852159.0568757,0.4332,0.0812,1696,168,21308,1016
2708,1759852159.0899026,0.4332,0.0812,1696,168,21308,1016
2741,1759852159.1228993,0.3978,0.088,1676,172,21304,1016
2774,1759852159.1549895,0.3402,0.0891,1644,172,21304,1012
2807,1759852159.1879902,0.2826,0.0812,1612,168,21304,1016
2840,1759852159.220991,0.246,0.0812,1592,168,21308,1016
2873,1759852159.2540169,0.2033,0.0812,1568,168,21304,1016
2906,1759852159.2869987,0.1524,0.0812,1540,168,21308,1016
2939,1759852159.3191602,0.1529,0.0812,1540,168,21304,1016
2972,1759852159.3520994,0.1308,0.0823,1528,168,21308,1012
3005,1759852159.3850975,0.0732,0.0891,1496,172,21308,1012
3038,1759852159.4181654,0.0732,0.0812,1496,168,21308,1016
3072,1759852159.453871,0.0578,0.0812,1488,168,21316,1016
3105,1759852159.4869323,0.0593,0.0812,1488,168,21304,1016
3138,1759852159.5199435,0.0593,0.0812,1488,168,21304,1016
3171,1759852159.5529318,0.0588,0.0812,1488,168,21308,1016
3204,1759852159.5850747,0.0593,0.0812,1488,168,21304,1016
3237,1759852159.6180246,0.0516,0.0812,1484,168,21308,1016
3270,1759852159.6510313,0.0593,0.0812,1488,168,21304,1016
3303,1759852159.6840284,0.0583,0.0812,1488,168,21312,1016
3336,1759852159.7170334,0.0593,0.0812,1488,168,21304,1016
3369,1759852159.7492769,0.0372,0.0812,1476,168,21308,1016
3402,1759852159.7821438,0.0372,0.0812,1476,168,21308,1016
3435,1759852159.815149,0.0444,0.0812,1480,168,21308,1016
3468,1759852159.8481352,0.0588,0.0812,1488,168,21308,1016
3501,1759852159.8803315,0.0444,0.0812,1480,168,21308,1016
3534,1759852159.9168694,0.0372,0.0812,1476,168,21308,1016
3567,1759852159.9498782,0.0372,0.0541,1476,152,21308,1016
3600,1759852159.982875,0.0444,0.0348,1480,140,21308,1012
3633,1759852160.0150099,0.0367,0.0348,1476,140,21312,1012
3666,1759852160.0479717,0.0367,0.0348,1476,140,21312,1012
3699,1759852160.080977,0.0449,0.0348,1480,140,21304,1012
3732,1759852160.113984,0.0372,0.0348,1476,140,21308,1012
3765,1759852160.1470006,0.0372,0.0348,1476,140,21308,1012
3798,1759852160.1790147,0.0372,0.0,1476,88,21308,1016
3831,1759852160.2120857,0.0377,0.0541,1476,152,21304,1016
3864,1759852160.2450848,0.0228,0.0541,1468,152,21308,1016
3897,1759852160.2780974,0.0012,0.0271,1456,136,21308,1016
3930,1759852160.3102846,-0.0132,0.0271,1448,136,21308,1016
3963,1759852160.3432138,-0.0348,0.0271,1436,136,21308,1016
3996,1759852160.376196,-0.0353,0.0271,1436,136,21312,1016
4029,1759852160.4092033,-0.0348,0.0271,1436,136,21308,1016
4062,1759852160.4422047,-0.0343,0.0271,1436,136,21304,1016
4096,1759852160.4779477,0.0012,0.0271,1456,136,21308,1016
4129,1759852160.5110343,-0.0353,0.0271,1436,136,21312,1016
4162,1759852160.544031,-0.0492,0.0271,1428,136,21308,1016
4195,1759852160.5770307,-0.1068,0.0271,1396,136,21308,1016
4228,1759852160.6091313,-0.1073,0.0271,1396,136,21312,1016
4261,1759852160.642148,-0.15,0.0271,1372,136,21308,1016
4294,1759852160.6751325,-0.1428,0.0271,1376,136,21308,1016
4327,1759852160.7081335,-0.1284,0.0271,1384,136,21308,1016
4360,1759852160.741139,-0.15,0.0271,1372,136,21308,1016
4393,1759852160.7733157,-0.1424,0.0271,1376,136,21304,1016
4426,1759852160.8062656,-0.1068,0.0271,1396,136,21308,1016
4459,1759852160.8392556,-0.0852,0.0271,1408,136,21308,1016
4492,1759852160.8722727,-0.0857,0.0271,1408,136,21312,1016
4525,1759852160.9043975,-0.0487,0.0271,1428,136,21304,1016
4558,1759852160.9409823,-0.0348,0.0271,1436,136,21308,1016
4591,1759852160.9739873,-0.0132,0.0271,1448,136,21308,1016
4624,1759852161.006986,0.0012,0.0271,1456,136,21308,1016
4657,1759852161.0390506,0.0089,0.0271,1460,136,21304,1016
4690,1759852161.0725534,0.0089,0.0271,1460,136,21304,1016
4723,1759852161.1051052,-0.0204,0.0271,1444,136,21308,1016
4756,1759852161.1381032,-0.0209,0.0271,1444,136,21312,1016
4789,1759852161.1713176,-0.0132,0.0271,1448,136,21308,1016
4822,1759852161.2035613,-0.0209,0.0271,1444,136,21312,1016
4855,1759852161.236993,-0.0127,0.0271,1448,136,21304,1016
4888,1759852161.2692468,-0.0281,0.0271,1440,136,21312,1016
4921,1759852161.3026,-0.0132,0.0271,1448,136,21308,1016
4954,1759852161.3348892,-0.0132,0.0271,1448,136,21308,1016
4987,1759852161.3709261,-0.0204,0.0271,1444,136,21308,1016
5020,1759852161.4039485,-0.0132,0.0271,1448,136,21308,1016
5053,1759852161.4369707,-0.0204,0.0271,1444,136,21308,1016
5086,1759852161.4690142,-0.0132,0.0271,1448,136,21308,1016
5120,1759852161.5020459,0.0012,0.0271,1456,136,21308,1016
5153,1759852161.535133,0.0089,0.0271,1460,136,21304,1016
5186,1759852161.5681303,0.0223,0.0271,1468,136,21312,1016
5219,1759852161.6011312,0.0516,0.0271,1484,136,21308,1016
5252,1759852161.6331544,0.0593,0.0271,1488,136,21304,1016
5285,1759852161.6662266,0.0583,0.0271,1488,136,21312,1016
5318,1759852161.699228,0.0804,0.0271,1500,136,21308,1016
5351,1759852161.732238,0.0727,0.0271,1496,136,21312,1016
5384,1759852161.7644074,0.066,0.0271,1492,136,21308,1016
5417,1759852161.8009725,0.0799,0.0271,1500,136,21312,1016
5450,1759852161.83397,0.0727,0.0271,1496,136,21312,1016
5483,1759852161.8669763,0.0799,0.0271,1500,136,21312,1016
5516,1759852161.8990674,0.0727,0.0271,1496,136,21312,1016
5549,1759852161.9319808,0.0809,0.0271,1500,136,21304,1016
5582,1759852161.9650729,0.0799,0.0271,1500,136,21312,1016
5615,1759852161.9980798,0.0804,0.0271,1500,136,21308,1016
5648,1759852162.0310807,0.0804,0.0271,1500,136,21308,1016
5681,1759852162.063084,0.0732,0.0271,1496,136,21308,1016
5714,1759852162.0961833,0.0804,0.0271,1500,136,21308,1016
5747,1759852162.1291835,0.0732,0.0271,1496,136,21308,1016
5780,1759852162.1621869,0.0809,0.0271,1500,136,21304,1016
5813,1759852162.1943169,0.0804,0.0271,1500,136,21308,1016
5846,1759852162.2271922,0.0732,0.0271,1496,136,21308,1016
5879,1759852162.260316,0.0809,0.0271,1500,136,21304,1016
5912,1759852162.2933083,0.0804,0.0271,1500,136,21308,1016
5945,1759852162.3263366,0.0804,0.0271,1500,136,21308,1016
5978,1759852162.3585427,0.0727,0.0271,1496,136,21312,1016
