arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1759852463.8550858,0.0,0.0,1488,0,0,0
66,1759852463.8553822,0.0598,0.0,1488,0,21300,0
99,1759852463.8556678,0.0603,0.0,1488,0,21296,0
132,1759852463.855973,0.0603,0.0,1488,0,21296,0
165,1759852463.8562622,0.0603,0.0,1488,0,21296,0
198,1759852463.85655,0.0613,0.0,1488,0,21288,0
231,1759852463.8568385,0.0536,0.0,1484,0,21292,0
264,1759852463.857143,0.0603,0.0,1488,0,21296,0
297,1759852463.8574336,0.0742,0.0,1496,0,21300,0
330,1759852463.8577197,0.0603,0.0,1488,0,21296,0
363,1759852463.8580232,0.0603,0.0,1488,0,21296,0
396,1759852463.8583121,0.0526,0.0,1484,0,21300,0
429,1759852463.8585997,0.0608,0.0,1488,0,21292,0
462,1759852463.8588874,0.0603,0.0,1488,0,21296,0
495,1759852463.8591988,0.0608,0.0,1488,0,21292,0
528,1759852463.8594887,0.0603,0.0,1488,0,21296,0
561,1759852463.8597775,0.0603,0.0,1488,0,21296,0
594,1759852463.860071,0.0603,0.0,1488,0,21296,0
627,1759852463.8603795,0.0603,0.0,1488,0,21296,0
660,1759852463.8606682,0.0603,0.0,1488,0,21296,0
693,1759852463.8609562,0.0824,0.0,1500,0,21292,0
726,1759852463.8612444,0.0598,0.0,1488,0,21300,0
759,1759852463.8615513,0.0598,0.0,1488,0,21300,0
792,1759852463.8618412,0.0603,0.0,1488,0,21296,0
825,1759852463.862136,0.0603,0.0,1488,0,21296,0
858,1759852463.8624396,0.0598,0.0,1488,0,21300,0
891,1759852463.8627279,0.0598,0.0,1488,0,21300,0
924,1759852463.8630157,0.0603,0.0,1488,0,21296,0
957,1759852463.8633044,0.0531,0.0,1484,0,21296,0
990,1759852463.8636146,0.0603,0.0,1488,0,21296,0
1024,1759852463.8639138,0.0603,0.0,1488,0,21296,0
1057,1759852463.864212,0.0603,0.0,1488,0,21296,0
1090,1759852463.885925,0.0598,0.0,1488,0,21300,0
1123,1759852463.9189167,0.0603,0.0,1488,0,21296,0
1156,1759852463.9519224,0.0814,0.0,1500,0,21300,0
1189,1759852463.984094,0.0598,0.0,1488,0,21300,0
1222,1759852464.0170152,0.0603,0.0,1488,0,21296,0
1255,1759852464.0500224,0.0747,0.0,1496,0,21296,0
1288,1759852464.0830307,0.0603,0.0,1488,0,21296,0
1321,1759852464.1153407,0.0603,0.0,1488,0,21296,0
1354,1759852464.1481225,0.0598,0.0,1488,0,21300,0
1387,1759852464.181121,0.0608,0.0,1488,0,21292,0
1420,1759852464.214152,0.0608,0.0,1488,0,21292,0
1453,1759852464.247133,0.0531,0.0,1484,0,21296,0
1486,1759852464.2828712,0.0608,0.0,1488,0,21292,0
1519,1759852464.3158808,0.0603,0.0,1488,0,21296,0
1552,1759852464.3488858,0.0603,0.0,1488,0,21296,0
1585,1759852464.3811028,0.0598,0.0,1488,0,21300,0
1618,1759852464.4140322,0.0603,0.0,1488,0,21296,0
1651,1759852464.447074,0.0531,0.0,1484,0,21296,0
1684,1759852464.4799752,0.0603,0.0,1488,0,21296,0
1717,1759852464.512991,0.0603,0.0,1488,0,21296,0
1750,1759852464.5457785,0.0603,0.0,1488,0,21296,0
1783,1759852464.5781474,0.0603,0.0,1488,0,21296,0
1816,1759852464.611156,0.0608,0.0,1488,0,21292,0
1849,1759852464.6441374,0.0603,0.0,1488,120,21296,1016
1882,1759852464.6771412,0.0526,0.0812,1484,168,21300,1016
1915,1759852464.709342,0.0603,0.0552,1488,152,21296,1012
1948,1759852464.742199,0.0747,0.1095,1496,184,21296,1012
1981,1759852464.7792895,0.0603,0.1163,1488,188,21296,1012
2014,1759852464.8118796,0.0603,0.1095,1488,184,21296,1012
2048,1759852464.8440373,0.0603,0.1095,1488,184,21296,1012
2081,1759852464.8770592,0.0603,0.1353,1488,200,21296,1016
2114,1759852464.910062,0.0603,0.1083,1488,184,21296,1016
2147,1759852464.943065,0.0603,0.1095,1488,184,21296,1012
2180,1759852464.975267,0.0603,0.1095,1488,184,21296,1012
2213,1759852465.0081973,0.0603,0.1083,1488,184,21296,1016
2246,1759852465.0411608,0.0603,0.1083,1488,184,21296,1016
2279,1759852465.0741563,0.0608,0.1083,1488,184,21292,1016
2312,1759852465.1071653,0.0603,0.088,1488,172,21296,1016
